DEBUG | QViewletExporter - QMainApp | Built Url: http://services.qarbon.com/client/urlredirector?action=vb_download&lang=en&type=pro&ver=4.5.11&pn=4&prod=vb&os=windows&act=1&pvca=4478-436A733F14-46&cvca=0
DEBUG | QViewletExporter - leelou.swf.e | ActionScriptName : loginTitle
DEBUG | QViewletExporter - leelou.swf.e | ActionScriptName : nameTitle
DEBUG | QViewletExporter - leelou.swf.e | ActionScriptName : passwordTitle
DEBUG | QViewletExporter - leelou.swf.e | ActionScriptName : okTitle
DEBUG | QViewletExporter - leelou.swf.e | ActionScriptName : requirePassword
DEBUG | QViewletExporter - leelou.swf.e | ActionScriptName : incorrectPassword
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 12
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 13
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 14 - export symbols
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 14
DEBUG | QViewletExporter - leelou.swf.e | Saved SWF file in 0.25 s
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 15
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 16
DEBUG | QViewletExporter - leelou.s.cb | QViewletExporter: flashGenerator.generate completed
DEBUG | QViewletExporter - leelou.s.cb | QViewletExporter: generate HTML: folder:C:\DOCUME~1\Nicole\LOCALS~1\Temp\Qarbon\ViewletBuilder4\Viewlets\progress_compare file: C:\DOCUME~1\Nicole\LOCALS~1\Temp\Qarbon\ViewletBuilder4\Viewlets\progress_compare\progress_compare_viewlet_swf.html
INFO | QViewletExporter - leelou.s.cb | Viewlet compiling time: 1.469 s
INFO | AWT-EventQueue-0 - leelou.publish.tc | Stopping
INFO | AWT-EventQueue-0 - QWebBrowserManager | Display URL: file:/C:/DOCUME~1/Nicole/LOCALS~1/Temp/Qarbon/ViewletBuilder4/Viewlets/progress_compare/progress_compare_viewlet_swf.html
INFO | AWT-EventQueue-0 - QWebBrowserManager | Command: rundll32 url.dll,FileProtocolHandler "C:\DOCUME~1\Nicole\LOCALS~1\Temp\Qarbon\ViewletBuilder4\Viewlets\progress_compare\progress_compare_viewlet_swf.html"
INFO | AWT-EventQueue-0 - leelou.publish.tc | Starting
DEBUG | Thread-6 - leelou.e.a.e | sound original srcformat: PCM_SIGNED 22050.0 Hz, 16 bit, stereo, 4 bytes/frame, little-endian
DEBUG | Thread-6 - leelou.e.a.e | Source format now is: PCM_SIGNED 22050.0 Hz, 16 bit, stereo, 4 bytes/frame, little-endian
DEBUG | Thread-6 - leelou.e.a.e | Destination format now is: PCM_SIGNED 22050.0 Hz, 16 bit, stereo, 4 bytes/frame, little-endian
DEBUG | Thread-6 - leelou.e.a.e | Based on compile time selection the optimal output format is: PCM_SIGNED 22050.0 Hz, 16 bit, stereo, 4 bytes/frame, little-endian
INFO | Thread-6 - leelou.e.a.m | Input format: PCM_SIGNED 22050.0 Hz, 16 bit, stereo, 4 bytes/frame, little-endian
DEBUG | Thread-6 - leelou.e.a.e | sound original srcformat: PCM_SIGNED 22050.0 Hz, 16 bit, stereo, 4 bytes/frame, little-endian
